cue,target,pair,lag_condition,actual_lag,encodingTask,position
stadium,arena,stadium--arena,5,4,generate,1
sauce,gravy,sauce--gravy,30,29,generate,2
satin,cloth,satin--cloth,single,,single,3
kite,wind,kite--wind,20,18,generate,4
coal,miner,coal--miner,5,4,generate,5
stadium,arena,stadium--arena,5,4,feedback,6
shoe,boot,shoe--boot,30,31,generate,7
prince,crown,prince--crown,30,29,generate,8
hospital,injury,hospital--injury,5,4,generate,9
coal,miner,coal--miner,5,4,feedback,10
knight,hero,knight--hero,10,10,generate,11
parade,street,parade--street,single,,single,12
octopus,legs,octopus--legs,5,4,generate,13
hospital,injury,hospital--injury,5,4,feedback,14
metal,copper,metal--copper,60,60,generate,15
award,medal,award--medal,single,,single,16
whiskey,beer,whiskey--beer,60,60,generate,17
octopus,legs,octopus--legs,5,4,feedback,18
pepper,spice,pepper--spice,30,30,generate,19
cents,penny,cents--penny,20,19,generate,20
jam,bread,jam--bread,30,30,generate,21
knight,hero,knight--hero,10,10,feedback,22
kite,wind,kite--wind,20,18,feedback,23
guitar,instrument,guitar--instrument,0,0,generate,24
guitar,instrument,guitar--instrument,0,0,feedback,25
parcel,box,parcel--box,60,59,generate,26
moss,grass,moss--grass,0,0,generate,27
moss,grass,moss--grass,0,0,feedback,28
sailor,suit,sailor--suit,60,65,generate,29
poison,venom,poison--venom,60,60,generate,30
breakfast,bacon,breakfast--bacon,60,62,generate,31
sauce,gravy,sauce--gravy,30,29,feedback,32
bowl,rice,bowl--rice,10,11,generate,33
lab,scientist,lab--scientist,30,30,generate,34
sink,tub,sink--tub,20,20,generate,35
olive,green,olive--green,10,9,generate,36
flannel,pajamas,flannel--pajamas,60,58,generate,37
prince,crown,prince--crown,30,29,feedback,38
shoe,boot,shoe--boot,30,31,feedback,39
cents,penny,cents--penny,20,19,feedback,40
candle,wick,candle--wick,20,20,generate,41
baseball,club,baseball--club,5,6,generate,42
chocolate,milk,chocolate--milk,0,0,generate,43
chocolate,milk,chocolate--milk,0,0,feedback,44
bowl,rice,bowl--rice,10,11,feedback,45
olive,green,olive--green,10,9,feedback,46
reunion,hug,reunion--hug,60,56,generate,47
jewel,ruby,jewel--ruby,10,9,generate,48
baseball,club,baseball--club,5,6,feedback,49
pepper,spice,pepper--spice,30,30,feedback,50
basket,laundry,basket--laundry,single,,single,51
jam,bread,jam--bread,30,30,feedback,52
lizard,animal,lizard--animal,20,19,generate,53
gown,night,gown--night,30,30,generate,54
radio,news,radio--news,5,4,generate,55
sink,tub,sink--tub,20,20,feedback,56
violin,orchestra,violin--orchestra,30,30,generate,57
jewel,ruby,jewel--ruby,10,9,feedback,58
muscle,tissue,muscle--tissue,20,20,generate,59
radio,news,radio--news,5,4,feedback,60
grape,juice,grape--juice,single,,single,61
candle,wick,candle--wick,20,20,feedback,62
finger,toe,finger--toe,single,,single,63
galaxy,astronomy,galaxy--astronomy,5,5,generate,64
lab,scientist,lab--scientist,30,30,feedback,65
cord,plug,cord--plug,10,10,generate,66
twilight,moon,twilight--moon,single,,single,67
brick,building,brick--building,0,0,generate,68
brick,building,brick--building,0,0,feedback,69
galaxy,astronomy,galaxy--astronomy,5,5,feedback,70
pine,forest,pine--forest,0,0,generate,71
pine,forest,pine--forest,0,0,feedback,72
lizard,animal,lizard--animal,20,19,feedback,73
dust,desert,dust--desert,0,0,generate,74
dust,desert,dust--desert,0,0,feedback,75
metal,copper,metal--copper,60,60,feedback,76
cord,plug,cord--plug,10,10,feedback,77
whiskey,beer,whiskey--beer,60,60,feedback,78
zebra,lion,zebra--lion,10,10,generate,79
muscle,tissue,muscle--tissue,20,20,feedback,80
paint,canvas,paint--canvas,20,21,generate,81
hill,valley,hill--valley,20,19,generate,82
flea,itch,flea--itch,0,0,generate,83
flea,itch,flea--itch,0,0,feedback,84
gown,night,gown--night,30,30,feedback,85
parcel,box,parcel--box,60,59,feedback,86
letter,email,letter--email,10,9,generate,87
violin,orchestra,violin--orchestra,30,30,feedback,88
farmer,cow,farmer--cow,10,11,generate,89
zebra,lion,zebra--lion,10,10,feedback,90
poison,venom,poison--venom,60,60,feedback,91
rail,track,rail--track,single,,single,92
cake,frosting,cake--frosting,5,4,generate,93
breakfast,bacon,breakfast--bacon,60,62,feedback,94
sailor,suit,sailor--suit,60,65,feedback,95
flannel,pajamas,flannel--pajamas,60,58,feedback,96
letter,email,letter--email,10,9,feedback,97
cake,frosting,cake--frosting,5,4,feedback,98
tide,beach,tide--beach,0,0,generate,99
tide,beach,tide--beach,0,0,feedback,100
farmer,cow,farmer--cow,10,11,feedback,101
hill,valley,hill--valley,20,19,feedback,102
paint,canvas,paint--canvas,20,21,feedback,103
reunion,hug,reunion--hug,60,56,feedback,104
