cue,target,pair,lag_condition,actual_lag,encodingTask,position,computed_lag,lag_ok,window_ok
stadium,arena,stadium--arena,5,4.0,generate,1,4,True,True
sauce,gravy,sauce--gravy,30,29.0,generate,2,29,True,True
satin,cloth,satin--cloth,single,,single,3,,True,True
kite,wind,kite--wind,20,18.0,generate,4,18,True,True
coal,miner,coal--miner,5,4.0,generate,5,4,True,True
stadium,arena,stadium--arena,5,4.0,feedback,6,4,True,True
shoe,boot,shoe--boot,30,31.0,generate,7,31,True,True
prince,crown,prince--crown,30,29.0,generate,8,29,True,True
hospital,injury,hospital--injury,5,4.0,generate,9,4,True,True
coal,miner,coal--miner,5,4.0,feedback,10,4,True,True
knight,hero,knight--hero,10,10.0,generate,11,10,True,True
parade,street,parade--street,single,,single,12,,True,True
octopus,legs,octopus--legs,5,4.0,generate,13,4,True,True
hospital,injury,hospital--injury,5,4.0,feedback,14,4,True,True
metal,copper,metal--copper,60,60.0,generate,15,60,True,True
award,medal,award--medal,single,,single,16,,True,True
whiskey,beer,whiskey--beer,60,60.0,generate,17,60,True,True
octopus,legs,octopus--legs,5,4.0,feedback,18,4,True,True
pepper,spice,pepper--spice,30,30.0,generate,19,30,True,True
cents,penny,cents--penny,20,19.0,generate,20,19,True,True
jam,bread,jam--bread,30,30.0,generate,21,30,True,True
knight,hero,knight--hero,10,10.0,feedback,22,10,True,True
kite,wind,kite--wind,20,18.0,feedback,23,18,True,True
guitar,instrument,guitar--instrument,0,0.0,generate,24,0,True,True
guitar,instrument,guitar--instrument,0,0.0,feedback,25,0,True,True
parcel,box,parcel--box,60,59.0,generate,26,59,True,True
moss,grass,moss--grass,0,0.0,generate,27,0,True,True
moss,grass,moss--grass,0,0.0,feedback,28,0,True,True
sailor,suit,sailor--suit,60,65.0,generate,29,65,True,True
poison,venom,poison--venom,60,60.0,generate,30,60,True,True
breakfast,bacon,breakfast--bacon,60,62.0,generate,31,62,True,True
sauce,gravy,sauce--gravy,30,29.0,feedback,32,29,True,True
bowl,rice,bowl--rice,10,11.0,generate,33,11,True,True
lab,scientist,lab--scientist,30,30.0,generate,34,30,True,True
sink,tub,sink--tub,20,20.0,generate,35,20,True,True
olive,green,olive--green,10,9.0,generate,36,9,True,True
flannel,pajamas,flannel--pajamas,60,58.0,generate,37,58,True,True
prince,crown,prince--crown,30,29.0,feedback,38,29,True,True
shoe,boot,shoe--boot,30,31.0,feedback,39,31,True,True
cents,penny,cents--penny,20,19.0,feedback,40,19,True,True
candle,wick,candle--wick,20,20.0,generate,41,20,True,True
baseball,club,baseball--club,5,6.0,generate,42,6,True,True
chocolate,milk,chocolate--milk,0,0.0,generate,43,0,True,True
chocolate,milk,chocolate--milk,0,0.0,feedback,44,0,True,True
bowl,rice,bowl--rice,10,11.0,feedback,45,11,True,True
olive,green,olive--green,10,9.0,feedback,46,9,True,True
reunion,hug,reunion--hug,60,56.0,generate,47,56,True,True
jewel,ruby,jewel--ruby,10,9.0,generate,48,9,True,True
baseball,club,baseball--club,5,6.0,feedback,49,6,True,True
pepper,spice,pepper--spice,30,30.0,feedback,50,30,True,True
basket,laundry,basket--laundry,single,,single,51,,True,True
jam,bread,jam--bread,30,30.0,feedback,52,30,True,True
lizard,animal,lizard--animal,20,19.0,generate,53,19,True,True
gown,night,gown--night,30,30.0,generate,54,30,True,True
radio,news,radio--news,5,4.0,generate,55,4,True,True
sink,tub,sink--tub,20,20.0,feedback,56,20,True,True
violin,orchestra,violin--orchestra,30,30.0,generate,57,30,True,True
jewel,ruby,jewel--ruby,10,9.0,feedback,58,9,True,True
muscle,tissue,muscle--tissue,20,20.0,generate,59,20,True,True
radio,news,radio--news,5,4.0,feedback,60,4,True,True
grape,juice,grape--juice,single,,single,61,,True,True
candle,wick,candle--wick,20,20.0,feedback,62,20,True,True
finger,toe,finger--toe,single,,single,63,,True,True
galaxy,astronomy,galaxy--astronomy,5,5.0,generate,64,5,True,True
lab,scientist,lab--scientist,30,30.0,feedback,65,30,True,True
cord,plug,cord--plug,10,10.0,generate,66,10,True,True
twilight,moon,twilight--moon,single,,single,67,,True,True
brick,building,brick--building,0,0.0,generate,68,0,True,True
brick,building,brick--building,0,0.0,feedback,69,0,True,True
galaxy,astronomy,galaxy--astronomy,5,5.0,feedback,70,5,True,True
pine,forest,pine--forest,0,0.0,generate,71,0,True,True
pine,forest,pine--forest,0,0.0,feedback,72,0,True,True
lizard,animal,lizard--animal,20,19.0,feedback,73,19,True,True
dust,desert,dust--desert,0,0.0,generate,74,0,True,True
dust,desert,dust--desert,0,0.0,feedback,75,0,True,True
metal,copper,metal--copper,60,60.0,feedback,76,60,True,True
cord,plug,cord--plug,10,10.0,feedback,77,10,True,True
whiskey,beer,whiskey--beer,60,60.0,feedback,78,60,True,True
zebra,lion,zebra--lion,10,10.0,generate,79,10,True,True
muscle,tissue,muscle--tissue,20,20.0,feedback,80,20,True,True
paint,canvas,paint--canvas,20,21.0,generate,81,21,True,True
hill,valley,hill--valley,20,19.0,generate,82,19,True,True
flea,itch,flea--itch,0,0.0,generate,83,0,True,True
flea,itch,flea--itch,0,0.0,feedback,84,0,True,True
gown,night,gown--night,30,30.0,feedback,85,30,True,True
parcel,box,parcel--box,60,59.0,feedback,86,59,True,True
letter,email,letter--email,10,9.0,generate,87,9,True,True
violin,orchestra,violin--orchestra,30,30.0,feedback,88,30,True,True
farmer,cow,farmer--cow,10,11.0,generate,89,11,True,True
zebra,lion,zebra--lion,10,10.0,feedback,90,10,True,True
poison,venom,poison--venom,60,60.0,feedback,91,60,True,True
rail,track,rail--track,single,,single,92,,True,True
cake,frosting,cake--frosting,5,4.0,generate,93,4,True,True
breakfast,bacon,breakfast--bacon,60,62.0,feedback,94,62,True,True
sailor,suit,sailor--suit,60,65.0,feedback,95,65,True,True
flannel,pajamas,flannel--pajamas,60,58.0,feedback,96,58,True,True
letter,email,letter--email,10,9.0,feedback,97,9,True,True
cake,frosting,cake--frosting,5,4.0,feedback,98,4,True,True
tide,beach,tide--beach,0,0.0,generate,99,0,True,True
tide,beach,tide--beach,0,0.0,feedback,100,0,True,True
farmer,cow,farmer--cow,10,11.0,feedback,101,11,True,True
hill,valley,hill--valley,20,19.0,feedback,102,19,True,True
paint,canvas,paint--canvas,20,21.0,feedback,103,21,True,True
reunion,hug,reunion--hug,60,56.0,feedback,104,56,True,True
